año;mes;id_vu;razon_social;rut_razon_social;nombre_establecimiento;rubro;rubro_id;ciiu4;ciiu4_id;ciiu6;ciiu6_id;region;region_id;provincia;comuna;codigo_unico_territorial;latitud;longitud;rol_establecimiento;declaracion_id;tipo_recepcion;cantidad_toneladas;tratamiento_n1_id;tratamiento_n1_name;tratamiento_n2_id;tratamiento_n2_name;tratamiento_n3_id;tratamiento_n3_name;ler;ler_numero;ler_capitulo;ler_numero_capitulo;ler_subcapitulo;ler_numero_subcapitulo;trazabilidad__id_vu;trazabilidad__nombre_establecimiento;trazabilidad__razon_social;trazabilidad__comuna;trazabilidad__region;trazabilidad__pais
2014;0;4588;CIA CONTRACTUAL MINERA OJOS DEL SALADO;96635170-5;PLANTA PEDRO AGUIRRE CERDA;Minería;;Extracción y procesamiento de cobre;B0400;Extracción y procesamiento de cobre;B040000;Atacama;3;Copiapó;Tierra Amarilla;3103;-27,49791367;-70,25934572;Generador Industrial;;;428;2;Valorización;8;Reciclaje;20;Reciclaje de metales;Metales;200140;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);1;4989;PLANTA COLINA;GERDAU AZA S A;Renca;Metropolitana de Santiago;Chile
2014;0;4302260;UNILEVER CHILE SCC LIMITADA;92091000-9;UNILEVER CHILE SA PLANTA PANAMERICANA NORTE;Otras industrias manufactureras;;Elaboración de comidas y platos preparados;C1075;Elaboración de comidas y platos preparados envasados, rotulados y con información nutricional;C107500;Metropolitana de Santiago;13;Santiago;Conchalí;13104;-33,37083433;-70,69693153;Generador Industrial;;;427,63;2;Valorización;8;Reciclaje;16;Reciclaje de papel, cartón y productos de papel;Envases de papel y cartón;150101;"Residuos de envases; absorbentes, trapos de limpieza, materiales de filtración y ropas de protección no especificados en otra categoría";15;Envases (incluidos los residuos de envases de la recogida selectiva municipal);1;5459117;SOREPA;SOC RECUPERADORA DE PAPEL S A;San Joaquín;Metropolitana de Santiago;Chile
2014;0;796;FRIGORIFICO DE OSORNO S A;96518090-7;FRIGORIFICO DE OSORNO S.A;Otras industrias manufactureras;;Elaboración y conservación de carne;C1010;Elaboración y conservación de carne y productos cárnicos;C101020;Los Lagos;10;Osorno;Osorno;10301;-40,58168748;-73,14706481;Generador Industrial;;;427,5;;;;;;;Materiales inadecuados para el consumo o la elaboración;20204;"Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos";2;Residuos de la preparación y elaboración de carne, pescado y otros alimentos de origen animal;2;;;VERTEDERO MUNICIPAL DE CURACO DE LA COMUNA DE OSORNO;;;
2014;0;5452075;COPEFRUT S A;81836000-2;PLANTA BUIN;Otras industrias manufactureras;;Elaboración y conservación de frutas, legumbres y hortalizas;C1030;Elaboración y conservación de frutas, legumbres y hortalizas;C103000;Metropolitana de Santiago;13;Maipo;Buin;13402;-33,75212797;-70,67292744;Generador Industrial;;;427;1;Eliminación;3;Disposición final;11;Relleno sanitario;Materiales inadecuados para el consumo o la elaboración;20304;"Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos";2;"Residuos de la preparación y elaboración de frutas, hortalizas, cereales, aceites comestibles, cacao, café, té y tabaco; producción de conservas; producción de levadura y extracto de levadura, preparación y fermentación de melazas";3;78709;RELLENO SANITARIO SANTIAGO PONIENTE;VEOLIA SU CHILE SA;Las Condes;Metropolitana de Santiago;Chile
2014;0;1505;COCA COLA DE CHILE S A;96714870-9;COCA COLA DE CHILE SA;Otras industrias manufactureras;;"Elaboración de bebidas no alcohólicas; producción de aguas minerales y otras aguas embotelladas";C1104;Elaboración de bebidas no alcohólicas;C110401;Metropolitana de Santiago;13;Maipo;San Bernardo;13401;-33,55105057;-70,71477195;Generador Industrial;;;425;2;Valorización;;;;;Residuos no especificados en otra categoría;20799;"Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos";2;Residuos de la producción de bebidas alcohólicas y no alcohólicas (excepto café, té y cacao);7;5461360;ECOLOGICA SA;ECO LOGICA S A;Lampa;Metropolitana de Santiago;Chile
2014;0;5458378;ROJAS Y SANCHEZ LIMITADA;76823598-8;ROJAS Y SANCHEZ LIMITADA;Pesca y acuicultura;;Acuicultura marina;A0321;Servicios relacionados con la acuicultura marina;A032140;Los Lagos;10;Chiloé;Chonchi;10203;-42,6408511;-73,80784757;Generador Industrial;;;424,08;1;Eliminación;3;Disposición final;12;Vertedero;Residuos de plásticos (excepto embalajes);20104;"Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos";2;Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca;1;5460622;VERTEDERO INDUSTRIAL DICHAM;HERNANDEZ;Castro;Los Lagos;Chile
2014;0;783202;CENCOSUD RETAIL S.A.;81201000-K;JUMBO LOS ANGELES;Comercio minorista;;Venta al por menor de aparatos eléctricos de uso doméstico, muebles, equipo de iluminación y otros enseres domésticos en comercios especializados;G4759;Venta al por menor de muebles y colchones en comercios especializados;G475901;Biobío;8;Biobío;Los Angeles;8301;-37,47117549;-72,35553556;Generador Industrial;;;423,94;1;Eliminación;3;Disposición final;11;Relleno sanitario;Mezclas de residuos municipales;200301;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;Otros residuos municipales;3;5453436;RELLENO SANITARIO LOS ANGELES;DEMARCO S A;Quilicura;Metropolitana de Santiago;Chile
2014;0;4586344;EMPRESA DE SERVICIOS SANITARIOS DE LOS LAGOS S.A;96579800-5;PLANTA DE TRATAMIENTO DE AGUAS SERVIDAS, OSORNO;Captación, tratamiento y distribución de agua;;Captación, tratamiento y distribución de agua;E3600;Captación, tratamiento y distribución de agua;E360000;Los Lagos;10;Osorno;Osorno;10301;-40,55181287;-73,15078222;Generador Industrial;;;423,6;;;;;;;Mezclas de grasas y aceites procedentes de la separación de agua/sustancias aceitosas que contienen sólo aceites y grasa;190809;Residuos de las instalaciones para el tratamiento de residuos, de las plantas externas de tratamiento de aguas residuales y de la preparación de agua para consumo humano y de agua para uso industrial;19;Residuos de plantas de tratamiento de aguas residuales no especificados en otra categoría;8;;;SOCIEDAD DE INVERSIONES TRESOL LTDA.;;;
2014;0;4587176;ACONCAGUA FOODS S.A.;76099789-7;ACONCAGUA FOODS S.A;Otras industrias manufactureras;;Elaboración de comidas y platos preparados;C1075;Elaboración de comidas y platos preparados envasados, rotulados y con información nutricional;C107500;Metropolitana de Santiago;13;Maipo;Buin;13402;-33,73474579;-70,73084161;Generador Industrial;;;423;2;Valorización;8;Reciclaje;16;Reciclaje de papel, cartón y productos de papel;Papel y cartón;200101;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);1;5460733;GREENDOT;GREENDOT SPA;Buin;Metropolitana de Santiago;Chile
2014;0;245944;CERMAQ CHILE S.A.;79784980-4;CENTRO LAMAHUE 102305;Pesca y acuicultura;;Acuicultura marina;A0321;Cultivo y crianza de peces marinos;A032110;Los Lagos;10;Chiloé;Quemchi;10209;-42,13124557;-73,36248433;Generador Industrial;;;420,4;2;Valorización;7;Preparación para reutilización;;;Residuos no especificados en otra categoría;20199;"Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos";2;Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca;1;317561;PESQUERA LA PORTADA;PESQUERA LA PORTADA S A;San Antonio;Valparaíso;Chile
